iso_code,country_name,has_tir,association_code,national_association
AFG,Afghanistan,Afghanistan,55,ACCI
ALB,Albania,Albania,44,ANALTIR
DZA,Algeria,-,-,-
ARG,Argentina,-,-,-
ARM,Armenia,Armenia,79,AIRCA
AUT,Austria,Austria,84,AISÖ
AZE,Azerbaijan,Azerbaijan,75,ABADA
BLR,Belarus,Belarus,34,BAMAP
BEL,Belgium,Belgium,14,FEBETRA
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,67,AIRH
BGR,Bulgaria,Bulgaria,46,AEBTRI
CAN,Canada,-,-,-
CHL,Chile,-,-,#NAME?
CHN,China,China,95,CRTA
HRV,Croatia,Croatia,100,HGK
CYP,Cyprus,Cyprus,35,TDA
CZE,Czech Republic,Czech Republic,47,CESMAD BOHEMIA
DNK,Denmark,Denmark,17,DTL
EGY,Egypt,-,-,-
EST,Estonia,Estonia,31,ERAA
FIN,Finland,Finland,21,SKAL
FRA,France,France,19,AFTRI
GEO,Georgia,Georgia,54,GIRCA
DEU,Germany,Germany,016; 048,BGL; AIST
GRC,Greece,Greece,37,OFAE
HUN,Hungary,Hungary,49,MKFE
IND,India,India,96,FICCI
IDN,Indonesia,-,-,-
IRN,IRAN (ISLAMIC REPUBLIC OF),IRAN (ISLAMIC REPUBLIC OF),57,ICCIM
IRQ,Iraq,-,-,-
IRL,Ireland,Ireland,24,IRHA
ISR,Israel,Israel,56,IRTB
ITA,Italy,Italy,38,UICCIAA
JOR,Jordan,Jordan,86,RACJ
KAZ,Kazakhstan,Kazakhstan,81,KAZATO
KWT,Kuwait,Kuwait,61,KATC
KGZ,Kyrgyzstan,Kyrgyzstan,92,AIRTO-KR
LVA,Latvia,Latvia,33,LATVIJAS AUTO
LBN,Lebanon,Lebanon,82,CCIAB
LBR,Liberia,-,-,-
LTU,Lithuania,Lithuania,32,LINAVA
LUX,Luxembourg,Luxembourg,14,FEBETRA
MLT,Malta,Malta,90,ATTO
MDA,"Moldova, REPUBLIC OF","Moldova, REPUBLIC OF",60,AITA
MNG,Mongolia,Mongolia,87,NARTAM
MNE,Montenegro,Montenegro,68,PKCG
MAR,Morocco,Morocco,85,AMTRI
NLD,Netherlands,Netherlands,26,TLN
MKD,North Macedonia,North Macedonia,65,AMERIT
NOR,Norway,Norway,25,NLF
OMN,Oman,Oman,99,SINYAR
PAK,Pakistan,Pakistan,94,PNC-ICC
PSE,"Palestine, STATE OF",-,-,-
POL,Poland,Poland,51,ZMPD
PRT,Portugal,Portugal,41,ANTRAM
QAT,Qatar,Qatar,97,QCCI
KOR,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",-,-,-
ROU,Romania,Romania,50,UNTRR
RUS,Russian Federation,Russian Federation,53,ASMAP
SAU,Saudi Arabia,Saudi Arabia,98,SATA
SRB,Serbia,Serbia,89,SCC-ATT
SVK,Slovakia,Slovakia,40,CESMAD SLOVAKIA
SVN,Slovenia,Slovenia,43,GIZ INTERTRANSPORT
ESP,Spain,Spain,36,ASTIC
SWE,Sweden,Sweden,29,SA
CHE,Switzerland,Switzerland,15,ASTAG
SYR,Syrian Arab Republic,Syrian Arab Republic,83,SNC ICC
TJK,Tajikistan,Tajikistan,78,ABBAT
TUN,Tunisia,Tunisia,63,CCIT
TUR,TÜRKIYE,TÜRKIYE,42,TOBB
TKM,Turkmenistan,Turkmenistan,76,THADA
UKR,Ukraine,Ukraine,66,AsMAP UA
ARE,United Arab Emirates,United Arab Emirates,69,ATCUAE
GBR,United Kingdom,United Kingdom,022; 023,RHA; FTA
USA,United States of America,-,-,-
URY,Uruguay,-,-,-
UZB,Uzbekistan,Uzbekistan,74,AIRCUZ
